               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.01024,           0.0060077,           0.0070424,             0.93295,                   1,             0.99204,             0.87541,           0.0047373,           0.0023475,           0.0010935,            0.003268,            0.003268,            0.003268
                  36,           0.0087431,           0.0058694,            0.007116,             0.96042,             0.94697,             0.99204,             0.93184,           0.0034113,           0.0025025,            0.001434,             0.00307,             0.00307,             0.00307
                  37,            0.009231,           0.0061519,           0.0071078,             0.95845,             0.95455,             0.99204,              0.9311,           0.0034096,           0.0025244,           0.0016376,            0.002872,            0.002872,            0.002872
                  38,           0.0087512,             0.00593,            0.005901,             0.93301,             0.94839,             0.99204,             0.90546,           0.0031993,           0.0025575,           0.0019053,            0.002674,            0.002674,            0.002674
                  39,           0.0084211,           0.0058964,           0.0069803,             0.90634,             0.94091,             0.99204,             0.92995,           0.0026476,            0.002787,           0.0023198,            0.002476,            0.002476,            0.002476
                  40,           0.0092581,           0.0055974,           0.0085413,             0.91184,             0.92761,             0.99072,             0.91215,             0.00267,           0.0026008,           0.0023929,            0.002278,            0.002278,            0.002278
                  41,           0.0077215,           0.0055578,           0.0074074,             0.93997,              0.9459,             0.99204,             0.93241,            0.002635,           0.0025543,           0.0016682,             0.00208,             0.00208,             0.00208
                  42,           0.0080463,           0.0055614,           0.0064101,             0.95819,              0.9726,             0.99313,             0.93197,           0.0027862,           0.0025185,           0.0011126,            0.001882,            0.001882,            0.001882
                  43,           0.0073153,           0.0054825,           0.0053462,             0.97389,             0.97024,             0.99361,             0.92684,           0.0029471,             0.00232,           0.0009233,            0.001684,            0.001684,            0.001684
                  44,           0.0066436,           0.0050317,           0.0056276,             0.96286,              0.9943,             0.99448,             0.92152,           0.0030956,           0.0023518,          0.00078933,            0.001486,            0.001486,            0.001486
                  45,           0.0075304,           0.0054287,           0.0063246,              0.9981,             0.98662,               0.995,              0.9262,           0.0030091,           0.0025916,          0.00069282,            0.001288,            0.001288,            0.001288
                  46,            0.007342,           0.0054458,           0.0056734,             0.97594,              0.9966,               0.995,             0.92745,           0.0028359,           0.0026382,          0.00065907,             0.00109,             0.00109,             0.00109
                  47,           0.0074588,           0.0052979,           0.0057105,             0.96753,             0.99603,               0.995,             0.92963,           0.0025898,           0.0025975,          0.00070076,            0.000892,            0.000892,            0.000892
                  48,           0.0071006,            0.005382,           0.0062482,             0.96286,                   1,               0.995,             0.92405,           0.0026242,           0.0026286,          0.00066923,            0.000694,            0.000694,            0.000694
                  49,           0.0070373,           0.0051502,           0.0054325,             0.99778,              0.9923,               0.995,             0.93157,           0.0025599,           0.0025778,          0.00053715,            0.000496,            0.000496,            0.000496
