               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.01042,           0.0059249,           0.0083962,             0.89612,                   1,               0.995,             0.91248,           0.0041414,           0.0043244,           0.0019635,             0.00307,             0.00307,             0.00307
                  37,            0.010129,           0.0063465,           0.0090383,             0.89504,             0.95591,               0.995,             0.93182,           0.0034305,           0.0041528,           0.0023414,            0.002872,            0.002872,            0.002872
                  38,           0.0091389,           0.0062762,           0.0071665,             0.91334,                   1,               0.995,             0.93099,           0.0037952,           0.0038034,           0.0013616,            0.002674,            0.002674,            0.002674
                  39,            0.009852,           0.0063444,           0.0070211,             0.99339,                   1,               0.995,             0.91398,           0.0037049,           0.0036991,          0.00050672,            0.002476,            0.002476,            0.002476
                  40,           0.0090273,           0.0062617,             0.00629,             0.99471,                   1,               0.995,              0.9091,            0.003276,           0.0035472,          0.00048675,            0.002278,            0.002278,            0.002278
                  41,           0.0092106,           0.0061632,           0.0081828,              0.9338,                   1,               0.995,             0.92423,           0.0027663,           0.0031627,          0.00090667,             0.00208,             0.00208,             0.00208
                  42,            0.008984,           0.0060919,           0.0077751,              0.8889,                   1,               0.995,             0.91628,           0.0032255,           0.0030433,           0.0020427,            0.001882,            0.001882,            0.001882
                  43,           0.0095784,           0.0062368,           0.0078835,             0.96097,                   1,               0.995,             0.91393,           0.0031746,            0.003029,          0.00076213,            0.001684,            0.001684,            0.001684
                  44,            0.008174,           0.0057116,           0.0078072,             0.97744,                   1,               0.995,             0.94068,           0.0025693,           0.0030709,           0.0005744,            0.001486,            0.001486,            0.001486
                  45,           0.0083549,           0.0062946,           0.0070722,             0.98375,                   1,               0.995,             0.93604,           0.0025064,           0.0030077,          0.00049722,            0.001288,            0.001288,            0.001288
                  46,           0.0077242,            0.005586,           0.0075597,             0.98293,                   1,               0.995,              0.9337,           0.0024914,           0.0030306,          0.00050403,             0.00109,             0.00109,             0.00109
                  47,           0.0077086,           0.0054908,            0.007201,             0.98367,                   1,               0.995,             0.92199,           0.0025156,           0.0030803,          0.00051224,            0.000892,            0.000892,            0.000892
                  48,           0.0069763,           0.0055958,           0.0071757,             0.98974,                   1,               0.995,              0.9152,           0.0025925,           0.0031748,          0.00040345,            0.000694,            0.000694,            0.000694
                  49,           0.0071222,           0.0055298,           0.0075213,             0.99493,                   1,               0.995,             0.91112,           0.0026614,           0.0032508,          0.00027156,            0.000496,            0.000496,            0.000496
